#{"t_start": 1745259507.7428339, "env_id": "None"}
r,l,t,user_id
2.425468,10,339.271014,1
2.807527,14,339.436554,1
2.591176,20,339.668867,1
9.342582,50,340.233326,1
8.702194,50,340.833321,1
8.47312,50,341.404743,1
5.782326,30,341.744803,1
9.890245,50,342.301598,1
8.259284,47,342.849825,1
3.730202,16,343.042462,1
5.075277,28,350.591015,1
10.652608,50,351.158341,1
9.10832,50,351.728882,1
3.44196,21,351.96637,1
5.891358,28,352.290917,1
6.117433,39,352.741821,1
4.677003,23,353.009149,1
11.511458,50,353.780155,1
9.234462,31,354.227508,1
11.497749,48,354.822155,1
9.673132,42,355.345541,1
4.176258,26,355.667053,1
8.164213,50,356.308595,1
8.058986,49,356.876343,1
11.649477,50,357.457075,1
3.764682,16,357.649891,1
7.318606,33,358.033602,1
7.672003,50,358.605168,1
10.660044,50,359.173207,1
12.735007,50,359.733331,1
5.759097,50,360.312267,1
6.61097,46,360.840036,1
5.425434,25,361.129956,1
12.678742,50,361.703218,1
13.797185,50,362.280614,1
12.084789,50,362.85267,1
2.053008,17,363.050605,1
8.033877,50,363.615638,1
7.076153,40,364.076435,1
2.430526,19,364.30165,1
11.454141,48,364.854238,1
8.291487,45,365.347752,1
6.057498,23,365.606991,1
6.758874,37,366.027648,1
2.658776,29,366.374198,1
5.616478,18,366.586252,1
8.749394,48,367.17297,1
10.014837,50,367.755465,1
10.831877,50,368.333499,1
7.761683,50,368.893441,1
3.996583,14,369.061253,1
11.967794,50,369.611158,1
10.815473,44,370.115977,1
9.598664,50,370.698888,1
9.635452,45,371.215747,1
5.510565,21,371.465615,1
5.22391,28,371.788077,1
2.576777,11,371.925761,1
5.018254,13,372.082279,1
5.440912,31,372.440199,1
6.845124,24,372.72598,1
8.135706,34,373.119261,1
3.775983,19,373.34158,1
5.670253,50,373.917335,1
9.679072,50,374.542409,1
7.61106,23,381.843422,1
5.329402,30,382.179652,1
2.548794,13,382.329198,1
9.424045,50,382.86499,1
7.12564,50,383.414474,1
9.136037,50,383.966986,1
7.936504,46,384.478044,1
7.42228,40,384.917654,1
9.952529,50,385.473024,1
6.870681,48,386.00833,1
9.153834,50,386.578744,1
5.028767,50,387.128419,1
9.216592,38,387.549605,1
11.502672,50,388.101402,1
7.837176,38,388.528101,1
2.495772,18,388.734476,1
13.163994,50,389.283268,1
13.314341,50,389.85081,1
6.747974,23,390.109423,1
3.266659,22,390.365404,1
3.468015,24,390.632649,1
3.942787,17,390.827739,1
9.634649,36,391.229583,1
4.834457,26,391.526691,1
10.905615,50,392.094176,1
8.601901,39,392.719727,1
5.751266,21,393.081284,1
2.899398,11,393.264419,1
5.382355,21,393.520904,1
9.95827,50,394.105982,1
5.820263,27,394.426914,1
5.935301,34,394.811327,1
11.352346,50,395.384697,1
9.373388,50,395.964415,1
4.015613,34,396.351503,1
5.186677,28,396.669041,1
4.415594,19,396.885113,1
3.300975,14,397.050382,1
6.937971,22,397.313523,1
6.688339,23,397.589394,1
